lane,type,d,v,delta_crash,P_lC,P_nlC
1,1,22,33,0.67,0.37,0.63
1,1,22,34,0.65,0.38,0.62
1,1,23,15,1.53,0.1,0.9
1,1,23,16,1.44,0.12,0.88
1,1,23,17,1.35,0.13,0.87
1,1,23,18,1.28,0.15,0.85
1,1,23,19,1.21,0.16,0.84
1,1,23,20,1.15,0.18,0.82
1,1,23,21,1.1,0.2,0.8
1,1,23,22,1.05,0.21,0.79
1,1,23,23,1,0.23,0.77
1,1,23,24,0.96,0.24,0.76
1,1,23,25,0.92,0.25,0.75
1,1,23,26,0.88,0.27,0.73
1,1,23,27,0.85,0.28,0.72
1,1,23,28,0.82,0.29,0.71
1,1,23,29,0.79,0.31,0.69
1,1,23,30,0.77,0.32,0.68
1,1,23,31,0.74,0.33,0.67
1,1,23,32,0.72,0.34,0.66
1,1,23,33,0.7,0.35,0.65
1,1,23,34,0.68,0.36,0.64
1,1,24,15,1.6,0.09,0.91
1,1,24,16,1.5,0.11,0.89
1,1,24,17,1.41,0.12,0.88
1,1,24,18,1.33,0.14,0.86
1,1,24,19,1.26,0.15,0.85
1,1,24,20,1.2,0.17,0.83
1,1,24,21,1.14,0.18,0.82
1,1,24,22,1.09,0.2,0.8
1,1,24,23,1.04,0.21,0.79
1,1,24,24,1,0.22,0.78
1,1,24,25,0.96,0.24,0.76
1,1,24,26,0.92,0.25,0.75
1,1,24,27,0.89,0.27,0.73
1,1,24,28,0.86,0.28,0.72
1,1,24,29,0.83,0.29,0.71
1,1,24,30,0.8,0.3,0.7
1,1,24,31,0.77,0.31,0.69
1,1,24,32,0.75,0.33,0.67
1,1,24,33,0.73,0.34,0.66
1,1,24,34,0.71,0.35,0.65
1,1,25,15,1.67,0.08,0.92
1,1,25,16,1.56,0.1,0.9
1,1,25,17,1.47,0.11,0.89
1,1,25,18,1.39,0.13,0.87
1,1,25,19,1.32,0.14,0.86
1,1,25,20,1.25,0.16,0.84
1,1,25,21,1.19,0.17,0.83
1,1,25,22,1.14,0.18,0.82
1,1,25,23,1.09,0.2,0.8
1,1,25,24,1.04,0.21,0.79
1,1,25,25,1,0.22,0.78
1,1,25,26,0.96,0.24,0.76
1,1,25,27,0.93,0.25,0.75
1,1,25,28,0.89,0.26,0.74
1,1,25,29,0.86,0.28,0.72
1,1,25,30,0.83,0.29,0.71
1,1,25,31,0.81,0.3,0.7
1,1,25,32,0.78,0.31,0.69
1,1,25,33,0.76,0.32,0.68
1,1,25,34,0.74,0.33,0.67
1,1,26,15,1.73,0.08,0.92
1,1,26,16,1.63,0.09,0.91
1,1,26,17,1.53,0.1,0.9
1,1,26,18,1.44,0.12,0.88
1,1,26,19,1.37,0.13,0.87
1,1,26,20,1.3,0.14,0.86
1,1,26,21,1.24,0.16,0.84
1,1,26,22,1.18,0.17,0.83
1,1,26,23,1.13,0.19,0.81
1,1,26,24,1.08,0.2,0.8
1,1,26,25,1.04,0.21,0.79
1,1,26,26,1,0.22,0.78
1,1,26,27,0.96,0.24,0.76
1,1,26,28,0.93,0.25,0.75
1,1,26,29,0.9,0.26,0.74
1,1,26,30,0.87,0.27,0.73
1,1,26,31,0.84,0.29,0.71
1,1,26,32,0.81,0.3,0.7
1,1,26,33,0.79,0.31,0.69
1,1,26,34,0.76,0.32,0.68
1,1,27,15,1.8,0.07,0.93
1,1,27,16,1.69,0.08,0.92
1,1,27,17,1.59,0.09,0.91
1,1,27,18,1.5,0.11,0.89
1,1,27,19,1.42,0.12,0.88
1,1,27,20,1.35,0.13,0.87
1,1,27,21,1.29,0.15,0.85
1,1,27,22,1.23,0.16,0.84
1,1,27,23,1.17,0.17,0.83
1,1,27,24,1.13,0.19,0.81
1,1,27,25,1.08,0.2,0.8
1,1,27,26,1.04,0.21,0.79
1,1,27,27,1,0.22,0.78
1,1,27,28,0.96,0.24,0.76
1,1,27,29,0.93,0.25,0.75
1,1,27,30,0.9,0.26,0.74
1,1,27,31,0.87,0.27,0.73
1,1,27,32,0.84,0.28,0.72
1,1,27,33,0.82,0.29,0.71
1,1,27,34,0.79,0.31,0.69
1,1,28,15,1.87,0.06,0.94
1,1,28,16,1.75,0.07,0.93
1,1,28,17,1.65,0.09,0.91
1,1,28,18,1.56,0.1,0.9
1,1,28,19,1.47,0.11,0.89
1,1,28,20,1.4,0.12,0.88
1,1,28,21,1.33,0.14,0.86
1,1,28,22,1.27,0.15,0.85
1,1,28,23,1.22,0.16,0.84
1,1,28,24,1.17,0.18,0.82
1,1,28,25,1.12,0.19,0.81
1,1,28,26,1.08,0.2,0.8
1,1,28,27,1.04,0.21,0.79
1,1,28,28,1,0.22,0.78
1,1,28,29,0.97,0.24,0.76
1,1,28,30,0.93,0.25,0.75
1,1,28,31,0.9,0.26,0.74
1,1,28,32,0.88,0.27,0.73
1,1,28,33,0.85,0.28,0.72
1,1,28,34,0.82,0.29,0.71
1,1,29,15,1.93,0.06,0.94
1,1,29,16,1.81,0.07,0.93
1,1,29,17,1.71,0.08,0.92
1,1,29,18,1.61,0.09,0.91
1,1,29,19,1.53,0.1,0.9
